Agency,Department,Name,Title,Room Number,Street Address,City,State,Zip Code,Telephone,Fax,Email Address,Website,Online Request Form,Notes
*,Department of Commerce,,FOIA Requester Service Center,,,,,,654.505.2812,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,454.169.4401x5751,(092)177-1697x1427,erin83@gmail.com,http://www.foia.va.gov/,,
*,Department of Agriculture,*,FOIA Officer,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-130-799-8648x112,225.528.2431x06255,psmith@gmail.com,,,*
*,Department of Energy,*,FOIA Officer,,*,*,*,*,9270388511,348-583-3501,paulataylor@yahoo.com,*,*,
*,*,*,FOIA Public Liaison,*,*,*,*,*,(766)567-0673,+1-160-490-5457x63994,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-630-810-8650,285-742-3821x5567,strongrachael@hotmail.com,http://www.foia.va.gov/,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,(983)920-2109x869,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,+1-310-003-9068x25120,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,001-824-773-9934x04225,,davisjames@hotmail.com,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,6559696301,,smithdarrell@yahoo.com,,,
*,Department of Veterans Affairs,*,FOIA Requester Service Center,,,Washington,,,791.145.9842x117,,,,,
*,Department of Defense,*,*,*,*,*,*,*,954.368.2962x972,001-058-263-5649,iconner@hotmail.com,*,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,047.873.5799,,,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,+1-169-117-0724x9390,8350712969,blake96@yahoo.com,*,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,(277)883-0522x12972,+1-521-705-0792x800,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-116-877-5827,,,,,
*,Department of Defense,*,*,*,*,*,VA,*,981.922.8169x631,+1-145-498-7290,dchang@hotmail.com,*,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,001-470-029-5970x3079,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-287-754-7938,,nrogers@gmail.com,,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,347-034-1516,,,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,557-307-2342,9033088213,jacob29@hotmail.com,*,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-291-600-6578x6943,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,960.007.5695x406,,,,,
*,*,,FOIA Requester Service Center,,,,,,(109)280-1635x16114,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,001-981-199-3741x577,958.124.4815x948,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,478-401-2357,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,159.907.5574x6386,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,199-991-7645x446,,bowerschristopher@gmail.com,,,
*,Department of Homeland Security,*,FOIA Officer,*,,*,*,*,+1-917-104-5271,486-324-5172x065,williambrooks@hotmail.com,*,*,
*,Department of Defense,*,*,*,*,Washington,DC,*,+1-846-759-9972x373,+1-544-423-2444x68566,michaeldennis@hotmail.com,*,*,
*,Department of Energy,*,FOIA Officer,,*,*,*,*,(941)335-8334x445,933-815-2990,juan35@hotmail.com,*,*,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,298-413-2303x7677,,,,,*
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-568-034-3639x4277,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(280)210-4082,,,,,
*,*,,FOIA Requester Service Center,,,,,,503-430-6507,,,,,
*,Department of Defense,*,*,*,*,*,VA,*,078-172-8503x1460,,trodriguez@hotmail.com,*,*,
*,*,*,*,,,,,,,001-739-881-3201x020,bowersnicholas@yahoo.com,*,*,This agency has additional FOIA contact information that can be found by visiting its website.
*,*,*,FOIA Officer,*,*,*,VA,*,001-895-605-0526x308,0951661664,cassidy40@gmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Health and Human Services,*,*,*,*,*,MD,*,+1-088-962-6556x95167,,dhall@gmail.com,*,*,
*,Department of Health and Human Services,*,*,*,*,*,MD,*,772-166-8611,+1-763-507-8788x89130,,*,*,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,537.829.3335,,,,,
*,Department of Commerce,*,*,*,*,Washington,DC,*,+1-205-457-7407x89701,096.592.1439,chelseablake@hotmail.com,*,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,(108)150-4059x096,,,,,
*,*,,FOIA Requester Service Center,,,,,,400.649.7995,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,9652797801,,,,,
*,Department of Transportation,*,*,,*,Washington,DC,*,+1-636-577-5787x965,(859)813-8289,mdavidson@yahoo.com,*,,
*,Department of Health and Human Services,*,*,*,*,*,MD,*,910-108-8580x4861,,wilsonvanessa@gmail.com,*,*,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,(941)835-0551x82339,,maciaserika@hotmail.com,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,293.427.5446x5669,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,(105)127-5161x26240,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,286.392.1296x46586,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-620-395-8298x83393,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,845-754-3270,001-836-665-6901x957,,*,http://www.justice.gov/oip/oip-request.html,
*,Department of Justice,*,*,*,*,Washington,DC,*,6940224718,(929)687-9778,padillaevan@yahoo.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,629.894.9706x6519,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,+1-272-032-7645x40686,(144)530-5765x39441,,http://www.foia.va.gov/,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,001-437-640-5534x4651,,,,,
*,*,*,FOIA Public Liaison,*,*,*,*,,(112)320-2326,,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,837.498.6018x1974,,,,,
