orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
10100,S18_1749,30,136.0,3,2003-01-06,2003-01-13,2003-01-10,Shipped,,363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,1216.0,114200,*,Classic Cars,1:10,Welly Diecast Productions,*,4823.0,103.12581670121963,213.0980616935049
10100,S18_2248,50,55.09,2,2003-01-06,2003-01-13,2003-01-10,Shipped,,363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,1216.0,114200,*,Vintage Cars,1:24,Red Start Diecast,*,2728.0,15.949021017211548,33.80249745647323
10100,S18_4409,22,75.46,4,2003-01-06,2003-01-13,2003-01-10,Shipped,,363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,1216.0,114200,*,Vintage Cars,1:32,Studio M Art Models,*,2685.0,21.88274530212572,43.65925243766007
10100,S24_3969,49,35.29,1,2003-01-06,2003-01-13,2003-01-10,Shipped,,363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,1216.0,114200,*,Vintage Cars,1:32,Autoart Studio Design,*,550.0,16.061204787180085,35.11803833118871
10101,S18_2325,25,108.06,4,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,1504.0,59700,*,Trucks and Buses,1:32,Autoart Studio Design,*,24.0,25.660152044575508,46.42763905069218
10101,S18_2795,26,167.06,1,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,1504.0,59700,*,Vintage Cars,1:24,Carousel DieCast Legends,*,1457.0,15.927158743171796,33.86853996581413
10101,S24_1937,45,32.53,3,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,1504.0,59700,*,Vintage Cars,1:32,Carousel DieCast Legends,*,8685.0,16.062972036450535,34.6252446184046
10101,S24_2022,46,44.35,2,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,1504.0,59700,*,Trucks and Buses,1:18,Welly Diecast Productions,*,2864.0,101.14770689707797,205.63517643757305
10102,S18_1342,39,95.55,2,2003-01-10,2003-01-18,2003-01-14,Shipped,,181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286.0,76400,*,Vintage Cars,1:50,Motor City Art Classics,*,3135.0,48.032797129354,58.55153747182122
10102,S18_1367,41,43.13,1,2003-01-10,2003-01-18,2003-01-14,Shipped,,181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286.0,76400,*,Classic Cars,1:18,Min Lin Diecast,*,9771.0,73.03471596341834,121.43946177837827
